title,author,genre,user_rating
The Alchemist,Paulo Coelho,Fiction,3.9
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,4.7
To Kill a Mockingbird,Harper Lee,Classic,4.8
The Great Gatsby,F. Scott Fitzgerald,Classic,4.4
1984,George Orwell,Dystopian,4.7
Pride and Prejudice,Jane Austen,Romance,4.6
The Hobbit,J.R.R. Tolkien,Fantasy,4.7
The Catcher in the Rye,J.D. Salinger,Classic,4.0
The Da Vinci Code,Dan Brown,Thriller,4.3
The Kite Runner,Khaled Hosseini,Fiction,4.5
Atomic Habits,James Clear,Self-help,4.8
Rich Dad Poor Dad,Robert Kiyosaki,Finance,4.6
Think and Grow Rich,Napoleon Hill,Self-help,4.5
The Power of Now,Eckhart Tolle,Spiritual,4.4
Sapiens,Yuval Noah Harari,History,4.7
Ikigai,Hector Garcia,Self-help,4.6
The Psychology of Money,Morgan Housel,Finance,4.7
Deep Work,Cal Newport,Productivity,4.6
Can't Hurt Me,David Goggins,Motivation,4.8
The 5 AM Club,Robin Sharma,Self-help,4.3